code,name,current_stock,min_stock,base_price,wholesale_price,retail_price
PROD-140-2,ACEITUNA NEGRA X5KG N'0',998,0,27950,44000,44000
PROD-142,ACEITUNA NEGRA X1KG N'2',994,0,3750,5900,5900
PROD-142-2,ACEITUNA NEGRA X1KG N'2',994,0,3750,5900,5900
PROD-144,ACEITUNA RELLENA/MORRON 3KG,996,0,13480,21250,21250
PROD-144-2,ACEITUNA RELLENA/MORRON 3KG,996,0,13480,21250,21250
PROD-145,ACEITUNA RODAJA 1KG,960,0,4970,7850,7850
PROD-145-2,ACEITUNA RODAJA 1KG,960,0,4970,7850,7850
PROD-146,ACEITUNA VERDE 1KG N'00',974,0,4290,6750,6750
PROD-146-2,ACEITUNA VERDE 1KG N'00',974,0,4290,6750,6750
PROD-147,ACEITUNA VERDE 5KG N'0',984,0,14450,22750,22750
PROD-147-2,ACEITUNA VERDE 5KG N'0',984,0,14450,22750,22750
PROD-148,ACEITUNA VERDE 5KG N'2',945,0,12870,20250,20250
PROD-148-2,ACEITUNA VERDE 5KG N'2',945,0,12870,20250,20250
PROD-1482,ACEITE 900CC LA FAVORITA,125,0,1850,2350,2350
PROD-149,ACEITUNA VERDE 1KG N'2',970,0,3540,5600,5600
PROD-149-2,ACEITUNA VERDE 1KG N'2',970,0,3540,5600,5600
PROD-15,LLUVIA DE PAPAS DANAL,838,0,5460,8300,8300
PROD-150,ACEITUNA VERDE 2KG N'00',982,0,7950,12550,12550
PROD-150-2,ACEITUNA VERDE 2KG N'00',982,0,7950,12550,12550
PROD-151,ACEITUNA VERDE 2KG N'000',1000,0,9830,15500,15500
PROD-151-2,ACEITUNA VERDE 2KG N'000',1000,0,9830,15500,15500
PROD-1515,TAPA PASCUALINA DI PASC,950,0,700,1100,1100
PROD-152,ACEITUNA VERDE 1KG N'000',981,0,5610,8850,8850
PROD-152-2,ACEITUNA VERDE 1KG N'000',981,0,5610,8850,8850
PROD-153,ACEITUNA VERDE 1KG N'0',972,0,3850,6100,6100
PROD-153-2,ACEITUNA VERDE 1KG N'0',972,0,3850,6100,6100
PROD-1546,SALCHICHON CON VERDURAS GOGGI,955,0,2635,4000,4000
PROD-1552,FIAMBRE DE PAVITA INVICTO,982,0,6200,9400,9400
PROD-156,ACEITUNA VERDE 2KG N'0',934,0,6400,10100,10100
PROD-156-2,ACEITUNA VERDE 2KG N'0',934,0,6400,10100,10100
PROD-1561,SENDA LA PAULINA,844,0,7941,12050,12050
PROD-1567,MORTADELA LA TIROLESA,786,0,2800,4250,4250
